Empresa,Representante Legal,Correo Electrónico,Teléfono,ID Hotspot
La Favorita S.A.,Ana Navarro,contacto@lafavoritasa.com.ec,0965583028,6538846997
Supermaxi C.A.,Diego Torres,contacto@supermaxica.com.ec,0919229668,6664347439
Tía S.A.,Andrés Valencia,contacto@tiasa.com.ec,0927310959,3708495361
Ecuatoriana de Aviación,David Flores,contacto@ecuatorianadeaviacion.com.ec,0960576717,1668364032
Cervecería Nacional,Carlos Herrera,contacto@cervecerianacional.com.ec,0950780963,8590744133
Pronaca,Jorge García,contacto@pronaca.com.ec,0926478165,9860315849
Nirsa,Mónica Herrera,contacto@nirsa.com.ec,0961323901,2609089778
Tesalia CBC,Pedro Ramírez,contacto@tesaliacbc.com.ec,0993828885,7475953814
Corporación El Rosado,Luis Castillo,contacto@corporacionelrosado.com.ec,0916297356,9659996414
KFC Ecuador,Andrés Castillo,contacto@kfcecuador.com.ec,0968990249,7332135221
Netlife,Andrés Jiménez,contacto@netlife.com.ec,0915039707,6085414178
CNT EP,Luis Rodríguez,contacto@cntep.com.ec,0979753915,6576420079
Banco del Barrio,Patricia Castillo,contacto@bancodelbarrio.com.ec,0928386154,3904761019
Rivalsa S.A.,Luis García,contacto@rivalsasa.com.ec,0950190722,5277006211
ElectroEcuador,Jorge Rodríguez,contacto@electroecuador.com.ec,0966800480,3689589421
Petroamazonas,Patricia Silva,contacto@petroamazonas.com.ec,0940590834,9558379287
Flopec,Diego Ortega,contacto@flopec.com.ec,0933114233,7562283659
Avianca Ecuador,Lucía Torres,contacto@aviancaecuador.com.ec,0936634900,2617138518
Petroecuador,Diana Navarro,contacto@petroecuador.com.ec,0910908331,6143240246
Ecuador TLC,Luis Ramírez,contacto@ecuadortlc.com.ec,0981191393,1617061697
Prysmian Ecuador,David Morales,contacto@prysmianecuador.com.ec,0936653925,9909875289
Andec S.A.,Pedro Ortega,contacto@andecsa.com.ec,0913224781,4038030527
Indurama,Santiago Ortega,contacto@indurama.com.ec,0963400571,4860189912
Omnilife Ecuador,Andrés Silva,contacto@omnilifeecuador.com.ec,0974491139,2725853857
Rival S.A.,Lucía Torres,contacto@rivalsa.com.ec,0970113090,8170924662
La Fabril,Ana Torres,contacto@lafabril.com.ec,0956965420,5092980135
Santa Priscila,Juan Ramírez,contacto@santapriscila.com.ec,0978583487,3781959751
Agripac,Pedro Silva,contacto@agripac.com.ec,0944677408,8815364094
Grupo Ortiz,Santiago Pérez,contacto@grupoortiz.com.ec,0967667774,9568869687
Inalecsa,Fernando Flores,contacto@inalecsa.com.ec,0987039735,8388659961
Corporación GPF,Jorge Jiménez,contacto@corporaciongpf.com.ec,0943152156,6039875422
Yanbal Ecuador,Daniela Rodríguez,contacto@yanbalecuador.com.ec,0969521788,5714418859
Grupo Eljuri,David Morales,contacto@grupoeljuri.com.ec,0931451165,5519031103
Aglomerados Cotopaxi,Juan Flores,contacto@aglomeradoscotopaxi.com.ec,0952876822,9025529850
Ecuapetrol,María Silva,contacto@ecuapetrol.com.ec,0972859644,7458715377
Novacero,Diego Pérez,contacto@novacero.com.ec,0923843771,1244194366
Colineal,María Rodríguez,contacto@colineal.com.ec,0939326919,4903625779
Farmaenlace,Lucía Navarro,contacto@farmaenlace.com.ec,0991689438,6972683579
Ales C.A.,José García,contacto@alesca.com.ec,0982989470,6341046355
Salud S.A.,Lucía Gómez,contacto@saludsa.com.ec,0984187447,2487955542
Panavial,Luis Ortega,contacto@panavial.com.ec,0957643086,8867557480
Aeroservicios,Jorge Reyes,contacto@aeroservicios.com.ec,0971582846,6174273168
Comohogar S.A.,Mónica Reyes,contacto@comohogarsa.com.ec,0980520275,3283837963
Tabacarcen,Carmen Morales,contacto@tabacarcen.com.ec,0941074330,1766538348
Zhumir,Gabriela Reyes,contacto@zhumir.com.ec,0990667469,4921212441
Pikaro S.A.,Patricia Mendoza,contacto@pikarosa.com.ec,0966033687,7251054079
Alpina Ecuador,María Flores,contacto@alpinaecuador.com.ec,0945985283,5065413546
Ecuaquímica,María Herrera,contacto@ecuaquimica.com.ec,0937964065,2631617292
Tropicalfruit,Jorge Castillo,contacto@tropicalfruit.com.ec,0932886189,2102348976
Molinos Champion,Pedro Morales,contacto@molinoschampion.com.ec,0984997820,7484135609
Confiteca,María Valencia,contacto@confiteca.com.ec,0959676861,7780517312
Uribe Schwarzkopf,Santiago Flores,contacto@uribeschwarzkopf.com.ec,0926880551,2092700300
Colgate Palmolive Ecuador,Pedro Vargas,contacto@colgatepalmoliveecuador.com.ec,0956318594,6528355018
Productos Familia,Mónica Navarro,contacto@productosfamilia.com.ec,0941385380,6713947139
Pronaca Alimentos,Diana Pérez,contacto@pronacaalimentos.com.ec,0932925635,7452775446
Oro Verde S.A.,Patricia Pérez,contacto@oroverdesa.com.ec,0977417527,7377390989
Lácteos San Antonio,Patricia Mendoza,contacto@lacteossanantonio.com.ec,0984202715,5552027956
Industrial Danec,Juan Castillo,contacto@industrialdanec.com.ec,0970553510,5650271332
Ferrero del Ecuador,Carlos Herrera,contacto@ferrerodelecuador.com.ec,0922973813,6478365499
Helados Topsy,Patricia Navarro,contacto@heladostopsy.com.ec,0962224201,3357793807
Polar Ecuador,Ana Reyes,contacto@polarecuador.com.ec,0969895754,8103696846
Alimentos Polar,Daniela Navarro,contacto@alimentospolar.com.ec,0945111438,4896564339
Sambito,José Cruz,contacto@sambito.com.ec,0946707954,2068720978
Pacificard,Ana Valencia,contacto@pacificard.com.ec,0917211410,8673126000
Equifax Ecuador,Ana Castillo,contacto@equifaxecuador.com.ec,0988699381,7799213637
Cargill Ecuador,Patricia Reyes,contacto@cargillecuador.com.ec,0931194779,6030961865
Dinadec,Mónica Herrera,contacto@dinadec.com.ec,0960287409,2273900940
Unacem Ecuador,David Reyes,contacto@unacemecuador.com.ec,0987811577,7677823232
Invesa,Jorge Jiménez,contacto@invesa.com.ec,0999980920,7122392556
Plásticos Rival,Jorge Gómez,contacto@plasticosrival.com.ec,0951376760,7718280560
Kruger Corporation,David Torres,contacto@krugercorporation.com.ec,0952028807,8573876019
Alutech,Diana Herrera,contacto@alutech.com.ec,0917119327,8208008358
Cámara de Comercio de Quito,Juan Ortega,contacto@camaradecomerciodequito.com.ec,0971713851,2190081349
Grupo Entregas,Juan Silva,contacto@grupoentregas.com.ec,0979678170,6080367010
Vanguardia S.A.,Patricia García,contacto@vanguardiasa.com.ec,0980982497,1149970289
Mutualista Pichincha,Diana Flores,contacto@mutualistapichincha.com.ec,0944121132,3021701619
Helados Pingüino,Carmen García,contacto@heladospingüino.com.ec,0936494490,5550346606
Nestlé Ecuador,Jorge Castillo,contacto@nestleecuador.com.ec,0929471528,3876933211
Belcorp,Pedro Valencia,contacto@belcorp.com.ec,0916617685,1111160845
Avon Ecuador,José Castillo,contacto@avonecuador.com.ec,0972009830,7643609958
Teojama Comercial,Carlos Vargas,contacto@teojamacomercial.com.ec,0943253889,2779101388
Autosueco Ecuador,Diego Pérez,contacto@autosuecoecuador.com.ec,0998906561,8534383603
Ecuaestudios,Luis Torres,contacto@ecuaestudios.com.ec,0915893986,1707042501
Ecuagenera,David Pérez,contacto@ecuagenera.com.ec,0937584575,6008718688
Pica,Jorge Ramírez,contacto@pica.com.ec,0936234914,6525412071
Sopladora Paute,Andrés Ramírez,contacto@sopladorapaute.com.ec,0999297512,1926616793
Banco Codesa,Santiago Gómez,contacto@bancocodesa.com.ec,0927388659,7881091103
Súper Éxito,Daniela Cruz,contacto@superexito.com.ec,0921814882,9799066372
Inmocasa S.A.,Juan Rodríguez,contacto@inmocasasa.com.ec,0918109220,4977455157
Decoexpress,Patricia Cruz,contacto@decoexpress.com.ec,0975005644,8334311909
Farmacias Medicity,Andrés Herrera,contacto@farmaciasmedicity.com.ec,0998983619,5986944381
Grupo Conclina,Pedro García,contacto@grupoconclina.com.ec,0967203975,3397747328
La Holandesa,José Ramírez,contacto@laholandesa.com.ec,0986326906,5443659040
Seguros Equinoccial,Ana Rodríguez,contacto@segurosequinoccial.com.ec,0921455354,5218825197
Marcimex,María Navarro,contacto@marcimex.com.ec,0934235306,7113186931
La Italiana,Juan Reyes,contacto@laitaliana.com.ec,0978260750,5124590513
Seguros Sucre,Juan Torres,contacto@segurossucre.com.ec,0989922351,2701462419
Santa María,Fernando Silva,contacto@santamaria.com.ec,0981953493,9362008769
MedioDigital S.A.,Daniela Mendoza,contacto@mediodigitalsa.com.ec,0936049129,2515379569
Ecuamedios,Carlos Herrera,contacto@ecuamedios.com.ec,0954422003,1707119619
Avena Cubana,Diego Gómez,contacto@avenacubana.com.ec,0983903236,1005472399
Banco Guayaquil Holding,Luis García,contacto@bancoguayaquilholding.com.ec,0994256871,4154374174
